,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_type,Vehicle_type,Temperature,Humidity,Weather,Traffic,Distance (km),Target
0,4607,INDORES13DEL02,37.0,4.9,22.745049,75.892471,22.765049,75.912471,Snack ,motorcycle ,17.11,77.0,haze,Low,13.4,21.66666667
1,B379,BANGRES18DEL02,34.0,4.5,12.913041,77.683237,13.043041,77.813237,Snack ,scooter ,19.5,93.0,mist,Very High,37.17,85.26666667
2,5D6D,BANGRES19DEL01,23.0,4.4,12.914264,77.6784,12.924264,77.6884,Drinks ,motorcycle ,20.45,91.0,mist,Low,3.34,28.58333333
3,7A6A,COIMBRES13DEL02,38.0,4.7,11.003669,76.976494,11.053669,77.026494,Buffet ,motorcycle ,23.86,78.0,mist,Moderate,10.05,35.18333333
4,70A2,CHENRES12DEL01,32.0,4.6,12.972793,80.249982,13.012793,80.289982,Snack ,scooter ,26.55,87.0,mist,High,9.89,43.45
5,9BB4,HYDRES09DEL03,22.0,4.8,17.431668,78.408321,17.461668,78.438321,Buffet ,motorcycle ,21.43,65.0,broken clouds,Moderate,11.3,30.6
6,95B4,RANCHIRES15DEL01,33.0,4.7,23.369746,85.33982,23.479746,85.44982,Meal ,scooter ,17.51,69.0,clear sky,High,19.11,38.16666667
7,9EB2,MYSRES15DEL02,35.0,4.6,12.352058,76.60665,12.482058,76.73665,Meal ,motorcycle ,18.03,82.0,scattered clouds,Very High,28.41,50.0
8,1102,HYDRES05DEL02,22.0,4.8,17.433809,78.386744,17.563809,78.516744,Buffet ,motorcycle ,21.08,65.0,broken clouds,Very High,31.62,81.78333333
9,CDCD,DEHRES17DEL01,36.0,4.2,30.327968,78.046106,30.397968,78.116106,Snack ,motorcycle ,12.44,77.0,clear sky,High,11.59,36.36666667
10,D987,KOCRES16DEL01,21.0,4.7,10.003064,76.307589,10.043064,76.347589,Meal ,motorcycle ,23.95,88.0,mist,Moderate,7.57,25.1
11,2784,PUNERES13DEL03,23.0,4.7,18.56245,73.916619,18.65245,74.006619,Drinks ,scooter ,19.37,65.0,clear sky,High,21.93,49.45
12,C8B6,LUDHRES15DEL02,34.0,4.3,30.899584,75.809346,30.919584,75.829346,Buffet ,motorcycle ,19.14,55.0,clear sky,Low,3.98,17.5
13,DB64,KNPRES14DEL02,24.0,4.7,26.463504,80.372929,26.593504,80.502929,Snack ,scooter ,19.99,56.0,clear sky,Very High,24.5,56.16666667
14,3AF3,MUMRES15DEL03,29.0,4.5,19.176269,72.836721,19.266269,72.926721,Buffet ,electric_scooter ,24.74,47.0,clear sky,Very High,22.0,54.31666667
15,3AAB,MYSRES01DEL01,35.0,4.0,12.311072,76.654878,12.351072,76.694878,Meal ,scooter ,17.97,77.0,scattered clouds,Moderate,10.51,29.45
16,689B,PUNERES20DEL01,33.0,4.2,18.592718,73.773572,18.702718,73.883572,Snack ,motorcycle ,18.61,65.0,clear sky,Very High,23.61,55.85
17,6F67,HYDRES14DEL01,34.0,4.9,17.426228,78.407495,17.496228,78.477495,Snack ,motorcycle ,21.29,64.0,overcast clouds,High,18.26,52.48333333
18,C9CF,KOLRES15DEL03,21.0,4.7,22.552672,88.352885,22.582672,88.382885,Meal ,motorcycle ,22.99,83.0,haze,Moderate,8.07,31.73333333
